Radicado	Acta Conciliacion	Prefijo Factura	# Factura	CONCATENAR	NOTA CREDITO	Valor Factura	Total Glosas	Valor Aceptado en Conciliacion
457322	AC000456	HUS	403288	HUS403288	263271	$ 7.408.573	$ 1.056.941	$ 448.218
457325	AC000456	HUS	404136	HUS404136	263272	$ 2.169.054	$ 61.708	$ 10.218
459107	AC000456	HUS	409872	HUS409872	263278	$ 6.913.001	$ 2.099.810	$ 2.099.810
459110	AC000456	HUS	409574	HUS409574	263275	$ 780.504	$ 203.129	$ 2.371
459111	AC000456	HUS	410233	HUS410233	263280	$ 692.886	$ 89.007	$ 2.371
460616	AC000456	HUS	411234	HUS411234	263288	$ 812.155	$ 115.942	$ 12.589
460902	AC000456	HUS	409690	HUS409690	263277	$ 69.112.688	$ 835.556	$ 835.556
460903	AC000456	HUS	409981	HUS409981	263279	$ 65.689.969	$ 3.620.721	$ 3.620.721
462914	AC000456	HUS	410302	HUS410302	263282	$ 3.605.232	$ 2.351.828	$ 398.580
462915	AC000456	HUS	410675	HUS410675	263284	$ 7.390.337	$ 245.072	$ 245.072
463182	AC000456	HUS	411338	HUS411338	263290	$ 1.294.449	$ 124.639	$ 10.218
463183	AC000456	HUS	411363	HUS411363	263294	$ 38.844.384	$ 15.420.534	$ 132.151
484089	AC000456	HUS	411587	HUS411587	263295	$ 1.538.893	$ 79.407	$ 2.371
486580	AC000456	HUS	409451	HUS409451	263273	$ 17.412.784	$ 861.434	$ 861.434
486582	AC000456	HUS	409621	HUS409621	263276	$ 53.085.413	$ 12.381.641	$ 2.037.741
486586	AC000456	HUS	410919	HUS410919	224061	$ 10.812.482	$ 2.391.480	$ 1.594.320
486587	AC000456	HUS	410979	HUS410979	263286	$ 30.096.737	$ 11.160.446	$ 1.288.699
486591	AC000456	HUS	412364	HUS412364	263297	$ 53.018.208	$ 5.487.772	$ 1.199.497
487366	AC000456	HUS	413073	HUS413073	263299	$ 23.673.325	$ 551.034	$ 551.034
487367	AC000456	HUS	413469	HUS413469	263305	$ 29.144.821	$ 260.636	$ 10.218
488049	AC000456	HUS	413462	HUS413462	263304	$ 74.814.597	$ 191.400	$ 141.000
492345	AC000456	HUS	413118	HUS413118	263301	$ 8.730.432	$ 243.359	$ 243.359
492346	AC000456	HUS	413266	HUS413266	263303	$ 4.237.047	$ 458.490	$ 458.490
494537	AC000456	HUS	413049	HUS413049	232654	$ 11.372.469	$ 593.991	$ 195.411
496098	AC000456	HUS	413269	HUS413269	233402	$ 796.607	$ 48.350	$ 3.700
499087		HUS	415591	HUS415591	301901	$ 4.994.737	$ 294.246	$ 129.388
514190		HUS	416671	HUS416671	301906	$ 20.880.710	$ 4.295.847	$ 165.000
518553		HUS	412682	HUS412682	234345	$ 25.481.600	$ 3.320.127	$ 924.255
521665		HUS	417459	HUS417459	234326	$ 16.632.959	$ 4.282.669	$ 2.728.811
523118		HUS	418147	HUS418147	301962	$ 6.637.772	$ 216.048	$ 216.048
533288		HUS	420690	HUS420690	301966	$ 16.131.730	$ 12.674.327	$ 4.353.238
533289		HUS	420727	HUS420727	301970	$ 22.175.283	$ 3.342.414	$ 2.142.081
559515		HUS	420752	HUS420752	243808	$ 85.111.531	$ 3.259.840	$ 1.594.320
560611	AC000619	HUS	420099	HUS420099	243804	$ 3.757.260	$ 161.635	$ 79.407
560613		HUS	421733	HUS421733	243806	$ 20.627.343	$ 2.111.169	$ 108.024
562326		HUS	418576	HUS418576	243803	$ 2.518.999	$ 1.195.740	$ 1.195.740
568849	AC000619	HUS	420160	HUS420160	243805	$ 4.170.179	$ 42.800	$ 42.800
590745		HUS	426076	HUS426076	301997	$ 62.634.156	$ 356.712	$ 141.000
594169		HUS	426037	HUS426037	301998	$ 45.083.083	$ 6.200.439	$ 1.131.180
614223		HUS	421920	HUS421920	302000	$ 24.829.939	$ 3.738.804	$ 3.738.804
614224		HUS	423686	HUS423686	302003	$ 101.352.213	$ 21.769.990	$ 2.629.580
628451		HUS	428425	HUS428425	302004	$ 17.268.985	$ 2.912.151	$ 1.684.640
628452		HUS	428523	HUS428523	264866	$ 105.004.293	$ 6.652.551	$ 934.881
632474		HUS	432263	HUS432263	302009	$ 9.298.784	$ 339.200	$ 339.200
633783		HUS	431771	HUS431771	302023	$ 110.200.305	$ 18.766.142	$ 677.168
633788		HUS	433664	HUS433664	302024	$ 68.409.212	$ 3.936.959	$ 878.704
633797	AC000619	HUS	431722	HUS431722	263345	$ 1.263.205	$ 3.700	$ 3.700
635357	AC000618	HUS	432292	HUS432292	264612	$ 11.941.644	$ 3.776.175	$ 238.614
637709		HUS	432884	HUS432884	264915	$ 88.888.445	$ 5.817.798	$ 5.225.086
637718		HUS	435485	HUS435485	264792	$ 27.102.523	$ 1.662.440	$ 1.662.440
640279		HUS	439635	HUS439635	264922	$ 8.895.762	$ 4.516.942	$ 672.342
640425		HUS	435811	HUS435811	265504	$ 3.677.286	$ 9.400	$ 9.400
640426	AC000619	HUS	437357	HUS437357	265503	$ 3.795.799	$ 4.700	$ 4.700
641016		HUS	437582	HUS437582	265050	$ 110.245.982	$ 16.423.059	$ 4.661.079
670495		HUS	440319	HUS440319	302110	$ 35.898.903	$ 30.661.200	$ 4.901.825
670496		HUS	440328	HUS440328	302111	$ 19.152.692	$ 13.553.900	$ 2.168.866
673350		HUS	446260	HUS446260	302114	$ 34.214.349	$ 33.777.499	$ 4.302.466
807297		HUS	468094	HUS468094	309385	$ 1.251.735	$ 53.319	$ 53.319
808495	AC000862	HUS	466879	HUS466879	309352	$ 87.835	$ 5.746	$ 5.746
808496	AC000862	HUS	466886	HUS466886	309354	$ 114.236	$ 7.473	$ 7.473
