GESTOR	CONCATENAR	NOTA CREDITO
CAMILO	HUS0000466035	309244
CAMILO	HUS0000466053	309247
CAMILO	HUS0000466080	309249
CAMILO	HUS0000466095	309252
CAMILO	HUS0000466096	309255
CAMILO	HUS0000466136	309256
CAMILO	HUS0000466160	309261
CAMILO	HUS0000466172	309264
CAMILO	HUS0000466179	309265
CAMILO	HUS0000466203	309269
CAMILO	HUS0000466248	309273
CAMILO	HUS0000466249	309275
CAMILO	HUS0000466252	309278
CAMILO	HUS0000466256	309281
CAMILO	HUS0000466326	309284
CAMILO	HUS0000466331	309287
CAMILO	HUS0000466703	309292
CAMILO	HUS0000466712	309297
CAMILO	HUS0000466723	309299
CAMILO	HUS0000466734	309300
CAMILO	HUS0000466775	309302
CAMILO	HUS0000466781	309305
CAMILO	HUS0000466785	309307
CAMILO	HUS0000466797	309310
CAMILO	HUS0000466802	309312
CAMILO	HUS0000466823	309315
CAMILO	HUS0000466839	309318
CAMILO	HUS0000466842	309321
CAMILO	HUS0000466845	309322
CAMILO	HUS0000466852	309324
CAMILO	HUS0000466856	309327
CAMILO	HUS0000466859	309332
CAMILO	HUS0000466862	309334
CAMILO	HUS0000466863	309336
CAMILO	HUS0000466864	309339
CAMILO	HUS0000466865	309347
CAMILO	HUS0000466867	309349
CAMILO	HUS0000466879	309352
CAMILO	HUS0000466886	309354
CAMILO	HUS0000466919	309357
CAMILO	HUS0000466929	309363
CAMILO	HUS0000466991	309365
CAMILO	HUS0000467088	309366
CAMILO	HUS0000467138	309368
CAMILO	HUS0000467147	309369
CAMILO	HUS0000467159	309371
CAMILO	HUS0000467195	309372
CAMILO	HUS0000467356	309373
CAMILO	HUS0000467776	309374
CAMILO	HUS0000467812	309380
CAMILO	HUS0000467896	309381
CAMILO	HUS0000467966	309382
CAMILO	HUS0000467967	309383
CAMILO	HUS0000467969	309384
CAMILO	HUS0000468094	309385
CAMILO	HUS0000468165	309388
CAMILO	HUS0000468178	309389
CAMILO	HUS0000468238	309390
CAMILO	HUS0000468256	309391
CAMILO	HUS0000468326	309393
CAMILO	HUS0000468341	309394
CAMILO	HUS0000468344	309395
CAMILO	HUS0000468348	309396
CAMILO	HUS0000468352	309397
CAMILO	HUS0000468358	309398
CAMILO	HUS0000468366	309399
CAMILO	HUS0000468376	309400
CAMILO	HUS0000468394	309401
CAMILO	HUS0000468399	309403
CAMILO	HUS0000468406	309404
CAMILO	HUS0000468412	309406
CAMILO	HUS0000468417	309407
CAMILO	HUS0000468419	309417
CAMILO	HUS0000468423	309419
CAMILO	HUS0000468432	309421
CAMILO	HUS0000468434	309423
CAMILO	HUS0000468442	309426
CAMILO	HUS0000468450	309427
CAMILO	HUS0000468454	309430
CAMILO	HUS0000468464	309432
CAMILO	HUS0000468469	309433
CAMILO	HUS0000468475	309435
CAMILO	HUS0000468476	309438
CAMILO	HUS0000468477	309440
CAMILO	HUS0000468481	309442
CAMILO	HUS0000468547	309450
CAMILO	HUS0000468587	309456
CAMILO	HUS0000468589	309458
CAMILO	HUS0000468592	309461
CAMILO	HUS0000468705	309462
CAMILO	HUS0000468842	309465
CAMILO	HUS0000469033	309466
CAMILO	HUS0000469062	309467
CAMILO	HUS0000469106	309469
CAMILO	HUS0000469112	309470
CAMILO	HUS0000469517	309472
CAMILO	HUS0000469536	309474
CAMILO	HUS0000469540	309476
SANCHEZ	HUS0000469545	309251
SANCHEZ	HUS0000469578	309254
SANCHEZ	HUS0000469635	309258
SANCHEZ	HUS0000469750	309259
SANCHEZ	HUS0000469775	309262
SANCHEZ	HUS0000469825	309267
SANCHEZ	HUS0000469833	309268
SANCHEZ	HUS0000469836	309271
SANCHEZ	HUS0000469856	309274
SANCHEZ	HUS0000469882	309277
